股票代码,股票名,涨停次数
600139,西部资源,2
300099,精准信息,3
000828,东莞控股,5
605399,晨光新材,2
000893,东凌国际,2
600543,莫高股份,3
002625,光启技术,8
002009,天奇股份,2
300218,安利股份,3
605188,国光连锁,7
002151,北斗星通,3
300858,科拓生物,8
603212,赛伍技术,3
605118,力鼎光电,5
300557,理工光科,2
601456,国联证券,4
300318,博晖创新,6
002992,宝明科技,3
002991,甘源食品,4
300853,申昊科技,9
605199,葫芦娃,10
300855,图南股份,10
002965,祥鑫科技,3
300729,乐歌股份,2
300857,协创数据,8
000930,中粮科技,2
600363,联创光电,2
605318,法狮龙,3
600435,北方导航,3
600351,亚宝药业,3
600187,国中水务,3
